"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 16:58:36 GMT 2023","Wed Nov 29 16:58:36 GMT 2023","304","tests.unit.backend.wmg.api.common","test_expression_dotplot","ExpressionDotPlotTest","","","test__query_all_indexed_dims_multi_valued__returns_correct_result",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_semvar_utils","TestSemvarUtils","","","test__release_only_misformatted_version__returns_false",""
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","35","tests.unit.backend.layers.api","test_portal_api","TestRevision","","","test__start_revision_of_a_collection__201","
        Start a revision of a collection.
        "
"passed","Wed Nov 29 16:59:23 GMT 2023","Wed Nov 29 16:59:23 GMT 2023","99","tests.unit.processing","test_h5ad_data_file","TestH5ADDataFile","","","test__to_cxg__simple_anndata_with_corpora_and_dense",""
"passed","Wed Nov 29 16:58:33 GMT 2023","Wed Nov 29 16:58:34 GMT 2023","1190","tests.unit.backend.wmg.api","test_v2","WmgApiV2Tests","","","test__query_request_multi_primary_dims_only_with_compare__returns_200_and_correct_response",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_103","","","test_type_inference",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","3","tests.unit.backend.layers.api","test_gene_info","GeneInfoAPIv1Tests","","","test_gene_info_with_id","
        Successfully calls NCBIProvider fetch and search functions with a parameter of only gene ID
        "
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","5","tests.unit.backend.layers.api","test_curation_api","TestGetCollectionID","","","test_get_collection_with_no_datasets",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","1","tests.unit.backend.layers.business","test_business","TestUpdateCollectionDatasets","","","test_add_dataset_to_unpublished_collection_ok","
        A dataset can be added to a collection when `ingest_dataset` is called.
        The resulting dataset should be empty and in a state ready for processing.
        "
"passed","Wed Nov 29 16:59:10 GMT 2023","Wed Nov 29 16:59:20 GMT 2023","10291","tests.unit.cellguide_pipeline","test_source_collections_generator","TestSourceCollectionsGenerator","","","test__source_collections_generator",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.common","test_feature_flag","TestFeatureFlag","","","test_feature_flag",""
"passed","Wed Nov 29 16:58:37 GMT 2023","Wed Nov 29 16:58:38 GMT 2023","332","tests.unit.backend.wmg.api.common","test_expression_dotplot","ExpressionDotPlotTest","","","test__query_non_indexed_dim_single_valued__returns_correct_result",""
"passed","Wed Nov 29 16:58:24 GMT 2023","Wed Nov 29 16:58:24 GMT 2023","3","tests.unit.backend.wmg.api","test_v2","WmgApiV2Tests","","","test__filter_request_with_query_key_not_specified_in_api_spec_returns_400",""
"passed","Wed Nov 29 16:58:16 GMT 2023","Wed Nov 29 16:58:16 GMT 2023","55","tests.unit.backend.layers.utils","test_secret_config","TestSecretConfig","","","test_custom_secret_name",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","0","tests.unit.backend.layers.utils","test_uri","TestRegisteredSources","","","test_register_neg",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","42","tests.unit.backend.layers.utils","test_secret_config","TestSecretConfig","","","test_when_item_is_not_in_config_but_is_in_env_and_use_env_is_not_set_we_raise",""
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","4","tests.unit.backend.layers.api","test_portal_api","TestCollectionPostUploadLink","","","test__link_no_auth__401",""
"passed","Wed Nov 29 16:59:22 GMT 2023","Wed Nov 29 16:59:22 GMT 2023","1","tests.unit.processing","test_dataset_submissions","TestDatasetSubmissions","","","test__missing_curator_file_name__raises_error",""
"passed","Wed Nov 29 16:58:31 GMT 2023","Wed Nov 29 16:58:31 GMT 2023","169","tests.unit.backend.wmg.api","test_v2","WmgApiV2Tests","","","test__primary_filter_dimensions__returns_valid_response_body",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","0","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_59","","","test_type_inference",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","5","tests.unit.backend.layers.business","test_business","TestCollectionOperations","","","test_get_collection_version_from_canonical_unpublished_ok","
        `get_collection_version_from_canonical` retrieves the unpublished version connected
        to the canonical collection, if no published version is available
        "
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","32","tests.unit.backend.layers.business","test_business","TestGetDataset","","","test_get_prior_published_versions_for_dataset","
        Given a canonical dataset id, return all its DatasetVersions that have been part of published CollectionVersions
        "
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","21","tests.unit.backend.layers.business","test_business","TestCollectionOperations","","","test_get_collection_versions_for_canonical_ok","
        `get_collection_versions_from_canonical` can be used to retrieve all the versions
        for a canonical collection, whether those are published, active or neither
        "
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","0","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_4","","","test_type_inference",""
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","5","tests.unit.backend.layers.api","test_curation_api","TestGetCollectionID","","","test__get_private_collection__OK",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","0","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_56","","","test_type_inference",""
"skipped","Wed Nov 29 16:57:37 GMT 2023","Wed Nov 29 16:57:37 GMT 2023","0","tests.unit.wmg_processing","test_cube_pipeline","TestCubePipe","","","test_pipeline_creates_files","
        Test the pipeline successfully copies from mock s3, loads corpus and correctly builds cube/cell_ordering files
        and correctly uploads files to mock s3
        "
"passed","Wed Nov 29 17:00:30 GMT 2023","Wed Nov 29 17:00:30 GMT 2023","1","tests.unit.wmg_processing","test_tissue_mapper","TissueMapperTest","","","test__high_level_tissue_retrieval_does_not_exist",""
"passed","Wed Nov 29 16:59:23 GMT 2023","Wed Nov 29 16:59:23 GMT 2023","1","tests.unit.processing","test_logger","","","","test_log_suppressed__caught",""
"passed","Wed Nov 29 16:58:16 GMT 2023","Wed Nov 29 16:58:20 GMT 2023","3477","tests.unit.backend.wmg","test_query","QueryTest","","","test__query_marker_genes_cube__returns_correct_all_markers",""
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","16","tests.unit.backend.layers.api","test_curation_api","TestGetDatasets","","","test_get_dataset_is_primary_data_shape",""
"passed","Wed Nov 29 16:59:20 GMT 2023","Wed Nov 29 17:00:11 GMT 2023","50596","tests.unit.wmg_processing","test_marker_genes","MarkerGenesTests","","","test_marker_genes_cube",""
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","7","tests.unit.backend.layers.api","test_portal_api","TestCollectionPostUploadLink","","","test__bad_link__400",""
"passed","Wed Nov 29 16:59:25 GMT 2023","Wed Nov 29 16:59:25 GMT 2023","2","tests.unit.processing.schema_migration","test_dataset_migrate","TestDatasetMigrate","","","test_dataset_migrate_revision",""
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","48","tests.unit.backend.layers.api","test_curation_api","TestGetDatasets","","","test_get_dataset_shape",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","6","tests.unit.backend.layers.business","test_business","TestGetDataset","","","test_get_dataset_artifacts_ok","
        Artifacts belonging to a dataset can be obtained with `get_dataset_artifacts`
        "
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","14","tests.unit.backend.layers.api","test_portal_api","TestUpdateCollection","","","test__update_collection_links__OK",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","4","tests.unit.backend.layers.api","test_portal_api","TestCollection","","","test__post_collection_rejects_doi_not_in_crossref",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","6","tests.unit.backend.layers.business","test_business","TestCollectionOperations","","","test_tombstone_collection_ok","
        A Collection can be tombstoned
        "
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","44","tests.unit.backend.layers.api","test_curation_api","TestGetCollectionVersionID","","","test_get_collection_version_4xx",""
"passed","Wed Nov 29 16:57:25 GMT 2023","Wed Nov 29 16:57:30 GMT 2023","4061","tests.unit.cellguide_pipeline","test_canonical_marker_genes","CanonicalMarkerGeneCompilerTests","","","test__canonical_marker_genes",""
"passed","Wed Nov 29 16:58:04 GMT 2023","Wed Nov 29 16:58:04 GMT 2023","9","tests.unit.backend.layers.api","test_curation_api","TestGetCollections","","","test__get_collections_with_auth__OK_2","The 'revising_in' attribute is None for collections which lack a revision"
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","6","tests.unit.backend.layers.api","test_portal_api","TestCollectionDeletion","","","test_delete_collection_version__already_deleted__403",""
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","4","tests.unit.backend.layers.api","test_portal_api","TestUpdateCollection","","","test__update_collection__403",""
"passed","Wed Nov 29 16:59:22 GMT 2023","Wed Nov 29 16:59:22 GMT 2023","21","tests.unit.processing","test_h5ad_data_file","TestH5ADDataFile","","","test__slash_in_attribute_name",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","1","tests.unit.backend.layers.business","test_business","TestUpdateCollectionDatasets","","","test_add_dataset_to_non_existing_collection_fail","
        Calling `ingest_dataset` on a collection that does not exist should fail
        "
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","8","tests.unit.backend.layers.api","test_portal_api","TestCollectionPutUploadLink","","","test__reupload_unpublished_dataset__202","
        Reuploads an unpublished dataset
        "
"passed","Wed Nov 29 16:58:16 GMT 2023","Wed Nov 29 16:58:16 GMT 2023","1","tests.unit.backend.layers.utils","test_matrix_utils","TestMatrixUtils","","","test__is_matrix_sparse__giant_matrix_returns_false_early",""
