INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 8, 'sample_keys': ['10d6af01-38f5-4a98-9c7d-e6e2f0f4891b-fragment.tsv.bgz', '7bb2f1a2-fafb-49b9-b6fa-923c26b2fe94.h5ad', '7bb2f1a2-fafb-49b9-b6fa-923c26b2fe94.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['c10a2527-bc78-4a79-8ddf-7114c360d180/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['c10a2527-bc78-4a79-8ddf-7114c360d180.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['c10a2527-bc78-4a79-8ddf-7114c360d180.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['c10a2527-bc78-4a79-8ddf-7114c360d180.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['10d6af01-38f5-4a98-9c7d-e6e2f0f4891b-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['10d6af01-38f5-4a98-9c7d-e6e2f0f4891b-fragment.tsv.bgz.tbi']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['7bb2f1a2-fafb-49b9-b6fa-923c26b2fe94/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['7bb2f1a2-fafb-49b9-b6fa-923c26b2fe94.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['7bb2f1a2-fafb-49b9-b6fa-923c26b2fe94.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['7bb2f1a2-fafb-49b9-b6fa-923c26b2fe94.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['04ba77c8-5739-4138-bd87-217e06b2d1f4-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['04ba77c8-5739-4138-bd87-217e06b2d1f4-fragment.tsv.bgz.tbi']}
