INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 8, 'sample_keys': ['44890e07-c7bf-43d5-a89c-5a9e3a247dbb.h5ad', 'ebe04aca-621e-4b52-a896-9ca9e12cedeb-fragment.tsv.bgz', 'ebe04aca-621e-4b52-a896-9ca9e12cedeb-fragment.tsv.bgz.tbi']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['1139f0cf-1b9b-4fcb-8676-e105a77b4409/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['1139f0cf-1b9b-4fcb-8676-e105a77b4409.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['1139f0cf-1b9b-4fcb-8676-e105a77b4409.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['1139f0cf-1b9b-4fcb-8676-e105a77b4409.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['e81c32f0-d9a3-41f5-a216-eef048a24151-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['e81c32f0-d9a3-41f5-a216-eef048a24151-fragment.tsv.bgz.tbi']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['44890e07-c7bf-43d5-a89c-5a9e3a247dbb/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['44890e07-c7bf-43d5-a89c-5a9e3a247dbb.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['44890e07-c7bf-43d5-a89c-5a9e3a247dbb.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['44890e07-c7bf-43d5-a89c-5a9e3a247dbb.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['ebe04aca-621e-4b52-a896-9ca9e12cedeb-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['ebe04aca-621e-4b52-a896-9ca9e12cedeb-fragment.tsv.bgz.tbi']}
