INFO     corpora-api-wmg-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.006338357925415039}}
INFO     corpora-api-wmg-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.0030291080474853516}}
INFO     corpora-api-wmg-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 316}}
INFO     corpora-api-wmg-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.0030248165130615234}}
INFO     corpora-api-wmg-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.0028014183044433594}}
INFO     corpora-api-wmg-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1890, 'response_time': 0.0028493404388427734}}
INFO     corpora-api-wmg-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1646, 'response_time': 0.002655029296875}}
INFO     corpora-api-wmg-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1890, 'response_time': 0.0026869773864746094}}
INFO     corpora-api-wmg-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1646, 'response_time': 0.002640962600708008}}
